"Content Type","Platform","Format","Theme","Caption","Hashtags","Visual Direction","CTA","Status"
"Launch Post","Instagram","Static image 1:1","App launch announcement","You have been telling me wellness apps feel overwhelming. Too many features. Not built for real life. Signal is different. It syncs to YOUR cycle. Learns YOUR patterns. Guides you through food, movement, mindfulness, and relationships - all in one place. Built for women. Launching now in NZ. Link in bio.","#signalapp #nzwellness #cyclesyncing #holistichealth #nervoussystem #nzwomen #wellnessapp #mindcastnz #periodtracker #hormonehealth","Cream background #FAF8F5. Signal logo centred. Tagline: Tune Into Your Inner Self in Montserrat Bold. Clean and minimal. Create in Canva 1080x1080px.","Join waitlist - link in bio","Ready to post"
"Day in the Life","Instagram","Reel vertical 9:16 30-60s","Daily routine with Signal","[0-3s] Opens app - Daily Signal card: You are in your follicular phase. Energy is rising. [3-8s] Breakfast - AI suggests hormone-balancing meal. [8-15s] Gym - AI recommends strength training. [15-22s] Evening - journals 3 sentences - AI reflects back a pattern. [22-30s] Breathwork before bed. Text overlay: One app. Your whole cycle. Your whole life. End card: Download Signal.","#signalapp #dayinthelife #cyclesyncing #wellnessroutine #nzwomen #hormonalhealth #womenshealth #mindfulnessapp #journalingapp","POV-style iPhone footage. Real woman. Text overlays in Signal purple. Fast cuts. Montserrat font. Create in CapCut or Adobe Premiere.","Download now - link in bio","Script ready - needs filming"
"Poll Story","Instagram","Story 9:16 - poll","Engagement and research","Slide 1: Quick question for you. Slide 2 Poll: What is your biggest wellness struggle? A: Knowing what to eat each week. B: Staying consistent with movement. C: Managing emotions and stress. D: Feeling connected to my body. Slide 3 after poll closes: We built Signal to help with all of these. Learn more - link in bio.","N/A - no hashtags on stories","Cream and purple brand palette. Clean sans-serif text. Signal watermark bottom right.","Swipe up - link in bio","Ready to post"
"Educational Carousel","Instagram","Carousel 5-6 slides","What is cycle syncing?","Slide 1: Your hormones change every week. Your wellness routine should too. Slide 2: Follicular (Week 1-2) - Rising estrogen. Best for trying new things, strength training, creative work. Slide 3: Ovulation (Week 2) - Peak energy. Great for hard conversations, HIIT, collaboration. Slide 4: Luteal (Week 3-4) - Prioritise rest, gentle movement, nourishing food. Slide 5: Menstrual (Week 1) - Rest and reflect. Yoga, journalling, iron-rich food. Slide 6 CTA: Signal tracks this for you automatically. Download now.","#cyclesyncing #hormonehealth #womenshealth #menstrualcycle #nzwomen #wellnesstips #periodeducation #signalapp #holisticwellness","Phase colour per slide: Follicular lavender, Ovulation gold, Luteal rose, Menstrual deep navy. Simple icons. Minimal text. Create in Canva.","Download Signal - link in bio","Ready to create in Canva"
"Viral Hook","TikTok","Video 15-30s","Things that changed my life format","Things that actually changed my life this year: Getting off diet culture apps. Tracking my cycle not just my period. Understanding WHY I feel different each week. Finding an app that actually gets it. Signal syncs to your cycle and tells you what to eat, how to move, and how to take care of yourself every single day. Download link in my bio.","#signalapp #cyclesyncing #thingsthatchangedmylife #womenshealth #hormonehealth #periodhealth #wellnessapp #nzwomen #selfcare","Trending audio. Text overlay synced to speech. POV or selfie style. Hook in first 3 seconds is critical.","Download link in bio","Script ready"
"Founder Story","TikTok","Video 60s","Authentic founder content","My name is Grant and I built Signal. I built it because I watched people I love struggle with not knowing why they feel so different week to week. The anxiety before their period. The energy surge mid-cycle. The crash afterward. No one was connecting the dots. So I did. Signal is a wellness app built around your cycle. It tells you what your body needs every single day. We are launching in New Zealand first. Download link in bio.","#founderstory #signalapp #womenshealth #cyclesyncing #nzstartup #nzwomen #appbuilder #startupfounder #hormonehealth","Founder on camera. Authentic and personal. Good lighting. Signal logo end card.","Download - link in bio","Script ready - needs filming"
"Influencer DM","Instagram","Direct message","Gifted collaboration pitch","Hi [Name], I love your content around [their topic]. I am the founder of Signal - a new wellness app launching in NZ that syncs to your cycle and gives personalised guidance on food, movement, mindfulness, and relationships. I would love to gift you 3 months free access (Thriving tier - our top plan) to try out. No strings attached. If you love it and want to share it, amazing. If not, the access is yours to keep. Would you be keen? Grant - Signal by Mindcast","N/A","Text message - no visual needed","Reply to DM","Ready to send - target NZ wellness accounts 5k-100k followers"
"App Store Description","Apple App Store","App description up to 4000 chars","Full listing","Signal - Tune Into Your Inner Self. Your cycle changes everything - your energy, mood, sleep, hunger. Signal is the first wellness app built around this truth. CYCLE SYNCING: Daily insights for every phase. AI JOURNAL: Private journal with AI insights and Memory Vault. NUTRITION: Hormone-balancing meal plans and fridge recipe tool. MOVEMENT: Workouts matched to your cycle phase. NERVOUS SYSTEM: Box breathing, somatic practices, guided audio. COURSES: Connect (Gottman method) and Parenting course. HABITS: Daily rituals that build real change. Free to download. Plans from NZD $14.99/month. Cancel anytime. Privacy: your data is encrypted and never sold. NZ Privacy Act 2020 compliant.","N/A - App Store","App screenshots: Home dashboard, Cycle phase card, AI Journal, Meal plan, Breathwork player. iPhone 15 Pro frame. Bright and clean.","Download Signal","Ready to submit when app is in App Store"
"Google Play Description","Google Play Store","App description","Full listing","Signal - Tune Into Your Inner Self. Your cycle shapes your energy, mood, sleep, and hunger every week. Signal is the wellness app that works with your hormones - giving personalised AI-powered guidance for every phase. CYCLE SYNCING - track your cycle and understand your phases. AI JOURNAL - private journal with Memory Vault. NUTRITION - hormone-balancing meal plans and fridge recipe tool. MOVEMENT - workouts matched to your cycle. NERVOUS SYSTEM - breathwork and somatic practices with guided audio. RELATIONSHIP COURSES - Connect and Parenting courses using Gottman method. HABITS - daily rituals that stick. Free to download. Premium plans from NZD $14.99/month. Cancel anytime. Privacy: encrypted data, never sold. NZ Privacy Act 2020 compliant.","N/A - Play Store","Phone screenshots of key features. Signal brand colours.","Download Signal","Live - update description in Google Play Console"
"Beta Tester Welcome DM","Instagram or Email","Message template","Onboarding new testers","Hi [Name]! You are in! Your Signal beta access is ready. Here is how to get started: 1. Download Signal from the App Store or Google Play (search Signal Mindcast or go to signal.mindcast.co.nz). 2. Create your account. 3. Go to Membership and enter your code: [COUPON CODE]. 4. Set up your cycle dates and explore! I would love your feedback on: Does onboarding feel smooth? Does the AI journal feel helpful? Does anything feel confusing? Reply to this message anytime or use the Feedback button inside the app. Thank you for being part of this. Grant x","N/A","Text message","N/A","Ready to send - personalise coupon code per tester"
