Task,Category,Priority,Status,Details & How-To,Resource URL
"Resolve capacitor.config.ts merge conflict","🤖 Android / Capacitor","🔴 Critical — Do First","✅ Done","DONE — StatusBar and PushNotifications plugins kept. This was blocking all mobile builds.","https://github.com/ionic-team/capacitor"
"Add VITE_SENTRY_DSN to production environment","📡 Monitoring / Ops","🔴 Critical — Do First","⬜ Not Started","Sentry is already fully configured in src/instrument.ts and @sentry/react is installed. You just need to: 1. Go to sentry.io and create a free account. 2. Create a new React project. 3. Copy the DSN (looks like https://key@o0.ingest.sentry.io/project). 4. Add VITE_SENTRY_DSN=your-dsn to your .env file and to your Vercel/hosting environment variables. That's it — errors will start flowing in immediately.","https://sentry.io"
"Verify Sentry is receiving errors in production","📡 Monitoring / Ops","🔴 Critical — Do First","⬜ Not Started","After adding the DSN: deploy to production, open the app, intentionally cause an error (e.g. visit a broken URL), then check your Sentry dashboard to confirm it appears. Free tier gives 5,000 errors/month.","https://sentry.io/for/react/"
"Set up UptimeRobot to monitor your app URL","📡 Monitoring / Ops","🔴 Critical — Do First","⬜ Not Started","Free uptime monitoring with email/SMS alerts if your app goes down. Setup: 1. Go to uptimerobot.com and create free account. 2. Add New Monitor → HTTPS. 3. Enter your production URL. 4. Set monitoring interval to 5 minutes. 5. Add your email as alert contact. Also add a second monitor for https://hwcgbcfqxzzhvivcdroh.supabase.co to monitor your Supabase backend separately.","https://uptimerobot.com"
"Set up Supabase database backups","📡 Monitoring / Ops","🔴 Critical — Do First","⬜ Not Started","Go to Supabase Dashboard → Settings → Backups. Verify Point-in-Time Recovery (PITR) is enabled. If you're on the free Supabase plan, you only get daily backups retained for 7 days. Consider upgrading to Pro plan ($25/month) for proper backup retention before you have real users.","https://supabase.com/dashboard/project/hwcgbcfqxzzhvivcdroh/settings/general"
"Verify RESEND_API_KEY is set in Supabase Edge Function secrets","📧 Email / Resend","🔴 Critical — Do First","⬜ Not Started","Go to Supabase Dashboard → Settings → Edge Function Secrets. Confirm RESEND_API_KEY is present. If not, get it from resend.com → API Keys. Your email FROM address is currently support@mindcast.co.nz — all transactional emails go through this.","https://supabase.com/dashboard/project/hwcgbcfqxzzhvivcdroh/settings/vault"
"Verify Resend domain authentication (DKIM/SPF for mindcast.co.nz)","📧 Email / Resend","🔴 Critical — Do First","⬜ Not Started","Go to resend.com → Domains. Confirm mindcast.co.nz has DKIM and SPF records set up and verified (green tick). Without this, emails go to spam. If not set up: Resend will show you the DNS records to add to your domain registrar (usually Namecheap/Cloudflare etc).","https://resend.com/domains"
"Test Welcome email end-to-end","📧 Email / Resend","🔴 Critical — Do First","⬜ Not Started","Create a new account on your production app using a Gmail address you can check. You should receive the welcome email within 3 minutes (triggered by AuthContext.tsx line 116 when account is less than 3 minutes old). Check subject line, links work, email renders correctly on mobile.","https://resend.com/emails"
"Test Subscription Confirmed email","📧 Email / Resend","🔴 Critical — Do First","⬜ Not Started","Subscribe to the Rooted tier on production using a test card (Stripe test card: 4242 4242 4242 4242). You should receive the subscription confirmed email from the stripe-webhook edge function. Verify tier name displays correctly.","https://dashboard.stripe.com/test/webhooks"
"Test Stripe webhook is registered and firing","💰 Membership / Stripe","🔴 Critical — Do First","⬜ Not Started","Go to Stripe Dashboard → Developers → Webhooks. Confirm there is an endpoint pointing to: https://hwcgbcfqxzzhvivcdroh.supabase.co/functions/v1/stripe-webhook. Events to handle: checkout.session.completed, invoice.payment_succeeded, customer.subscription.updated, customer.subscription.deleted. Check recent webhook attempts show 200 status.","https://dashboard.stripe.com/test/webhooks"
